|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|  2944.841483105213 .. 413.69820680682955 | 279.10309485444685 .. -23.931703167838116 |    0.17528806557655968 |   -5.771217387384641 |     -5.9465054529612 |
|  2742.898425316404 .. 417.05437130419875 |  279.1055263886268 .. -23.931666190917554 |     0.8682866269240919 |                  inf |                  inf |
|   3124.662307619757 .. 418.7803375166009 |  279.1009296866479 .. -23.931647240017043 |    -0.8637728358164641 |   -6.231257707178477 |   -5.367484871362013 |
| 2699.8496100844213 .. 419.57806427117964 |  279.1060447253119 .. -23.931638402705552 |      3.060333029189431 |                  inf |                  inf |
| 2770.1251970942885 .. 421.89207812520044 |    279.105198557974 .. -23.93161295696721 |     2.4039080363231116 |   -4.895683088757251 |   -7.299591125080363 |
|  2849.9535439944443 .. 425.6896718075955 | 279.10423736886355 .. -23.931571180881903 |    -1.6121299406692577 |   -6.657098565402083 |   -5.044968624732825 |
|  2703.0198082735515 .. 429.6678855215134 |  279.1060065502669 .. -23.931527359702258 |   0.016543194273967124 |                  inf |                  inf |
|   2932.114189748752 .. 429.7942043051594 | 279.10324809786664 .. -23.931526021063412 |     1.7933882279090585 |   -5.140774697884937 |   -6.934162925793995 |
|  3181.9427606562394 .. 433.9812485371324 |  279.10023999227934 .. -23.93147994043662 |      2.499524714955548 |  -2.3092015324966817 |   -4.808726247452229 |
|   2866.973654764989 .. 435.9960533555168 | 279.10403243305495 .. -23.931457756631612 |    -3.3508486777579094 |   -8.167756695696797 |  -4.8169080179388875 |
| 3030.6430588990816 .. 436.90332759885416 |  279.1020617429904 .. -23.931447788266517 |   0.041535657340226934 |   -5.800682666508545 |   -5.842218323848773 |
|  2748.1381809477384 .. 438.3657670427006 |   279.1054632915732 .. -23.93143164875608 |   -0.15200839026007645 |   -6.043719614828137 |   -5.891711224568061 |
|   2940.18156877211 .. 443.28746290392286 |   279.10315095950654 .. -23.9313775212088 |    -1.6779870838576347 |   -6.670358297987809 |   -4.992371214130174 |
| 3141.0263425271023 .. 443.18284798986093 |   279.100732654429 .. -23.931378675737466 |    -1.8990105083384143 |   -6.841425506616475 |  -4.9424149982780605 |
|  2758.883614778416 .. 445.41634154362436 |  279.1053339071688 .. -23.931354056349104 |   -0.08554264767995819 |   -5.937427510573084 |   -5.851884862893126 |
| 2851.9861492157593 .. 446.00517208584097 |  279.10421289062344 .. -23.93134759796027 |     0.8247040576721278 |   -5.456316031792876 |   -6.281020089465004 |
|   2998.539628831636 .. 447.9662889462029 |  279.10244828924743 .. -23.93132603296622 |      2.061402243254333 |   -5.111421210803298 |   -7.172823454057632 |
| 2931.3645319389916 .. 448.81958646178913 |  279.1032571217968 .. -23.931316636122588 |     0.7814280359260846 |   -5.499259086541248 |   -6.280687122467333 |
|  2813.6754370837325 .. 453.4149868875387 | 279.10467417519624 .. -23.931266040775323 |    -1.6847587440983844 |   -6.695768887815906 |   -5.011010143717522 |
|   2791.799896622464 .. 454.0788846165504 | 279.10493757088886 .. -23.931258728985185 |     0.3543496495106281 |  -5.3945299755175995 |   -5.748879625028228 |
|  3167.0439644914004 .. 454.0716580775201 |  279.10041938612324 .. -23.93125883600399 |    -0.3039698513721251 |    -5.96584581080436 |   -5.661875959432235 |
|  2645.001823985867 .. 454.88969829063103 |  279.1067051156431 .. -23.931249758831143 |    -2.1567032467593585 |                  inf |                  inf |
|  2686.229045568942 .. 455.32132967689535 |  279.1062087127201 .. -23.931245023646348 |      0.682551213413683 |                  inf |                  inf |
|   3072.001398451591 .. 456.4330843102655 | 279.10156376100974 .. -23.931232852732577 |    -2.3514197615047685 |   -7.210923581252851 |   -4.859503819748083 |
|    3206.94162043739 .. 456.2060468342548 | 279.09993899249656 .. -23.931235341028277 |     1.0493263492944858 |   -6.428701314157655 |    -7.47802766345214 |
|  2827.5943444801565 .. 457.1070194843792 |  279.10450658153997 .. -23.93122541100775 |    -0.5965218514903515 |   -6.057839403210777 |   -5.461317551720426 |
| 3144.6977060832946 .. 457.23985785880706 | 279.10068845001877 .. -23.931223970275457 |   -0.09215086769774791 |   -5.964381672092447 |   -5.872230804394699 |
|   2895.182142418145 .. 458.2445199014572 |    279.1036927801315 .. -23.9312129046217 |    -1.4647688887714256 |   -6.542184885602134 |   -5.077415996830708 |
|  3095.2720513229747 .. 459.4514494901342 | 279.10128356725477 .. -23.931199633383763 |     2.1989229843933176 |   -5.035524185435516 |   -7.234447169828834 |
|   3135.421710777536 .. 458.8203473907187 | 279.10080013918423 .. -23.931206576832484 |    -2.7924371683880445 |   -7.634958356647898 |   -4.842521188259854 |
|  3198.0981840135614 .. 459.0951725923682 |   279.1000454736702 .. -23.93120354580458 |     0.9194173791585254 |  -5.6261931337130155 |   -6.545610512871541 |
|  3039.8254454286853 .. 464.5437722162711 |  279.1019511803696 .. -23.931143590078367 |       2.80017707962297 |   -2.399374606455254 |   -5.199551686078224 |
|  2929.693814810314 .. 465.84884282855234 | 279.10327723610476 .. -23.931129219538832 |     0.6994256013773752 |   -5.604302190869501 |   -6.303727792246876 |
|   3056.936855042985 .. 466.4171575495176 | 279.10174514795386 .. -23.931122972583015 |    -0.9415192966124779 |   -6.283722993622957 |   -5.342203697010479 |
|  2852.0245901085027 .. 467.8252027379873 | 279.10421242317284 .. -23.931107456462414 |    -2.0955006191747207 |   -6.972621095151371 |   -4.877120475976651 |
|   2887.639842315784 .. 469.0605638831653 |  279.10378359245715 .. -23.93109386690026 |    -1.8969886901106416 |   -6.841096431099299 |   -4.944107740988657 |
| 2778.3653845043914 .. 470.23725014113285 |  279.10509932660415 .. -23.93108089380237 |    -1.9888000470505878 |    -6.68891376594397 |   -4.700113718893382 |
| 2656.9495028831784 .. 471.86347179254795 |  279.10656125079095 .. -23.93106295762308 |      3.670752650109073 |                  inf |                  inf |
|  3241.7355825271825 .. 476.0562652052812 | 279.09952005419115 .. -23.931016872950128 |     0.9271228327920953 |   -5.164978300212115 |   -6.092101133004211 |
|   2783.351310435847 .. 479.3158500564749 |   279.1050392903158 .. -23.93098098008299 |     -6.427978722600271 |   -10.52903668696038 |   -4.101057964360109 |
| 3172.2740944915263 .. 479.73063435004224 | 279.10035641494596 .. -23.930976444227934 |     0.6874196323988209 |   -5.562282007757248 |  -6.2497016401560685 |
|     2769.3908796052 .. 480.9280990534064 |  279.1052073822242 .. -23.930963232709075 |    -0.8652606879554241 |   -4.454198487246582 |  -3.5889377992911573 |
| 2865.6499466781825 .. 482.14852366837295 |   279.1040483623154 .. -23.93094982293272 |     1.1552744178800365 |   -4.984244737247078 |   -6.139519155127115 |
